"4: Kazalniki bolniškega staleža po spolu in gospodarskih dejavnostih (SKD), Slovenija, letno po spremenljivkah: Leto, Spol, Gospodarske dejavnosti po SKD in Kazalnik",,,,,,,
,,,,,,,
,,Primeri,Koledarski dnevi,Odstotek BS (% BS),Izgubljeni koledarski dnevi na zaposlenega (IO),Število primerov na 100 zaposlenih (IF),Povpreèno trajanje ene odsotnosti (R)
,L POSLOVANJE Z NEPREMIÈNINAMI,2480,49558,3,12,58,20
,"M STROKOVNE, ZNANSTVENE IN TEHNIÈNE DEJAVNOSTI",28295,394918,2,8,59,14
,N DRUGE RAZNOVRSTNE POSLOVNE DEJAVNOSTI,20635,425610,5,16,79,21
,"O* DEJAVNOST JAVNE UPRAVE IN OBRAMBE, DEJAVNOST OBVEZNE SOCIALNE VARNOSTI*",78251,874405,5,17,148,11
,P IZOBRAŽEVANJE,74975,907919,4,13,109,12
,Q ZDRAVSTVO IN SOCIALNO VARSTVO,61773,957223,5,18,115,16
,"R KULTURNE, RAZVEDRILNE IN REKREACIJSKE DEJAVNOSTI",10921,157220,3,11,75,14
,S DRUGE DEJAVNOSTI,6966,145802,3,11,52,21
,"T DEJAVNOST GOSPODINJSTEV Z ZAPOSLENIM HIŠNIM OSEBJEM, PROIZVODNJA ZA LASTNO RABO",-,-,-,-,-,-
,U DEJAVNOST EKSTERITORIALNIH ORGANIZACIJ IN TELES,-,-,-,-,-,-
,A01 Kmetijska proizvodnja in lov ter z njima povezane storitve,4632,190875,4,13,32,41
,A02 Gozdarstvo,1589,36716,5,18,77,23
,A03 Ribištvo in gojenje vodnih organizmov,80,1930,3,9,39,24
,B05 Pridobivanje premoga,1510,35894,6,21,87,24
,B06 Pridobivanje surove nafte in zemeljskega plina,-,-,-,-,-,-
,B07 Pridobivanje rud,5,24,1,3,71,5
,B08 Pridobivanje rudnin in kamnin,856,20371,5,18,77,24
,B09 Storitve za rudarstvo,115,1389,6,22,183,12
,C10 Proizvodnja živil,11233,253429,5,19,85,23
,C11 Proizvodnja pijaè,1927,33876,5,19,109,18
,C12 Proizvodnja tobaènih izdelkov,-,-,-,-,-,-
,C13 Proizvodnja tekstilij,5258,109334,7,26,123,21
,C14 Proizvodnja oblaèil,5218,95241,5,18,100,18
,"C15 Proizvodnja usnja, usnjenih in sorodnih izdelkov",4297,69142,5,19,117,16
,"C16 Obdelava in predelava lesa, proizvodnja izdelkov iz lesa,",8287,186156,6,21,91,23
,C17 Proizvodnja papirja in izdelkov iz papirja,4233,76755,5,18,98,18
,C18 Tiskarstvo in razmnoževanje posnetih nosilcev zapisa,3204,63029,4,14,70,20
,C19 Proizvodnja koksa in naftnih derivatov,79,819,6,21,198,10
,"C20 Proizvodnja kemikalij, kemiènih izdelkov",6639,132032,6,20,100,20
,C21 Proizvodnja farmacevtskih surovin in preparatov,6887,95021,4,15,108,14
,C22 Proizvodnja izdelkov iz gume in plastiènih mas,11249,209884,4,16,86,19
,C23 Proizvodnja nekovinskih mineralnih izdelkov,7776,162086,6,20,98,21
